본문 내용,,수정필요여부,수정내용,수정완료여부
1. 소개,1. Introduction,X,1. Introduction,X
"King은 모든 사람들이 즐길 수 있는 흥미로운 엔터테인먼트 체험을 제공하는 멋진 게임을 만드는 기업입니다. King은 당사가 수시로 제공하는 게임, 웹 사이트 및 모든 관련 서비스(이하“ 서비스”)를 사용하는 모든 사용자의 개인정보를 존중합니다. 이 문서에서 당사는 King.com Limited를 “ King” “ 당사”, “ 우리” 또는 “ 우리의”로 지칭하며, 귀하를 “ 귀하” 및 “ 귀하의”로 지칭합니다","King makes great games that offer fun, bitesize entertainment experiences for everyone to enjoy. We at King respect the privacy of everyone who uses our games, website(s) and all related services which we may provide to you from time to time (""Services""). In this document we refer to King.com Limited as ""King"" ""us"", ""we"" or ""our"" and we refer to you as ""you"" and ""your"".",O,"We at 5minlab respect the privacy of everyone who uses our games, website(s) and all related services which we may provide to you from time to time (""Services""). In this document we refer to 5minlab Co.,Ltd. as ""5minlab"" ""us"", ""we"" or ""our"" and we refer to you as ""you"" and ""your"".",O
"본 "" 개인정보 보호정책"" 문서에는 당사가 귀하에게 속한 개인 데이터를 수집, 처리 및 저장하는 방법이 설명되어 있습니다. 여기서 개인 데이터란 귀하에 대한 정보, 즉 귀하의 이름, 주소, 전화번호 또는 이메일 주소와 같이 귀하를 개인적으로 식별할 수 있는 정보를 의미합니다. 본 정책에서는 그러한 정보를 "" 개인정보"" 또는 “ 데이터”라 칭합니다.","This document, the "" Privacy Policy"", explains how we collect, process and store any personal data belonging to you, meaning information about you which is personally identifiable such as your name, address, telephone number or email address. Such information is referred to throughout this policy as ""Personal Information"" or ""data"".",X,"This document, the "" Privacy Policy"", explains how we collect, process and store any personal data belonging to you, meaning information about you which is personally identifiable such as your name, address, telephone number or email address. Such information is referred to throughout this policy as ""Personal Information"" or ""data"".",X
"당사의 서비스를 액세스 및/또는 사용함으로써 귀하는 당사가 본 개인정보 보호정책에 명시된 방식에 따라 귀하의 개인정보를 수집, 처리, 저장 및 공유할 수 있다는 데 동의하는 것입니다. 만일 당사에 데이터를 제공하거나 본 개인정보 보호정책에서 허용하는 방식으로 데이터가 사용되는 데 대해 불만이 있을 경우, 당사의 서비스를 사용해서는 안 됩니다. 또한 당사 서비스에 관한 약관에 명시된 바에 따라 귀하가 당사의 서비스를 액세스하고 사용하기 위해서는 연령이 최소 13세 이상이어야 합니다.","By accessing and/or using our Services you consent to us collecting, processing, storing and sharing your Personal Information in the ways set out in this Privacy Policy. If you have any concerns about providing data to us or having it used in any manner permitted in this Privacy Policy you should not use our Services. As set out in the terms and conditions relating to our Services, you must be at least 13 years old to access and use our Services.",X,"By accessing and/or using our Services you consent to us collecting, processing, storing and sharing your Personal Information in the ways set out in this Privacy Policy. If you have any concerns about providing data to us or having it used in any manner permitted in this Privacy Policy you should not use our Services. As set out in the terms and conditions relating to our Services, you must be at least 13 years old to access and use our Services.",X
2. 당사 소개,2. About us,X,2. About us,X
"당사는 King.com Limited라는 이름의 기업입니다. 당사는 몰타에 등록되어 있고, 등록 번호는 C42504입니다. 당사의 등록 사무소는 Aragon Business Centre Level 4, Dragonara Road, St Julians STJ3140, Malta입니다.","We are a company called King.com Limited. We are registered in Malta, with registered number C42504. Our registered office is Aragon Business Centre Level 4, Dragonara Road, St Julians STJ3140, Malta.",O,"We are a company called 5minlab Co.,Ltd. We are registered in South Korea, with registered number 220-88-66851. Our registered office is 2F, 24, 9gil, Seogang-ro, Mapo-gu, Seoul, South Korea.",O
3. 당사가 귀하에 대해 수집하는 정보 및 수집 방법,"3. Information we collect about you, and how we collect it",X,"3. Information we collect about you, and how we collect it",X
당사는 귀하에 관한 다음 데이터를 수집하고 처리할 수 있습니다.,We may collect and process the following data about you:,X,We may collect and process the following data about you:,X
귀하가 당사의 서비스를 사용하기 위해 필요한 양식을 작성하거나 당사에 계정을 개설할 때 당사에 제공하는 정보,"information that you provide us with when you fill in forms when using our Services, or when you create an account with us;",X,"information that you provide us with when you fill in forms when using our Services, or when you create an account with us;",X
"귀하가 액세스하는 당사 서비스 및 리소스의 사용에 대한 세부 정보(예를 들어, 귀하가 당사의 게임을 언제 어떻게 플레이하는지 또는 당사의 웹 사이트를 언제 어떻게 방문하는지 또는 당사 서비스에 액세스하기 위해 어느 장치를 사용하는지에 대한 정보)","details of your use of our Services and the resources that you access (for example, information about how and when you play our games or visit our website(s), or what device you use to access our Services);",X,"details of your use of our Services and the resources that you access (for example, information about how and when you play our games or visit our website(s), or what device you use to access our Services);",X
